date,amount,type
2025-01-01,26,Whole Milk,Dairy
2025-01-01,18,Brown Rice,Grain
2025-01-01,10,American Cheese,Dairy
2025-01-02,24,Ground Beef,Meat
2025-01-03,25,White Bread,Bakery
2025-01-03,23,White Bread,Bakery
2025-01-03,23,Ground Beef,Meat
2025-01-03,25,Brown Rice,Grain
2025-01-04,22,White Bread,Bakery
2025-01-04,25,Ground Beef,Meat
2025-01-04,21,White Bread,Bakery
2025-01-05,18,White Bread,Bakery
2025-01-05,22,Ground Beef,Meat
2025-01-05,26,Brown Rice,Grain
2025-01-06,24,White Bread,Bakery
2025-01-06,20,Whole Milk,Dairy
2025-01-06,30,Whole Milk,Dairy
2025-01-06,28,Whole Milk,Dairy
2025-01-06,11,Brown Rice,Grain
2025-01-07,27,Whole Milk,Dairy
2025-01-08,24,Brown Rice,Grain
2025-01-08,22,Brown Rice,Grain
2025-01-08,15,Brown Rice,Grain
2025-01-08,14,Ground Beef,Meat
2025-01-09,20,Whole Milk,Dairy
2025-01-09,16,Brown Rice,Grain
2025-01-09,14,Ground Beef,Meat
2025-01-09,16,Brown Rice,Grain
2025-01-09,21,Whole Milk,Dairy
2025-01-10,28,Ground Beef,Meat
2025-01-10,17,White Bread,Bakery
2025-01-11,10,Whole Milk,Dairy
2025-01-11,17,Whole Milk,Dairy
2025-01-11,27,White Bread,Bakery
2025-01-11,10,Whole Milk,Dairy
2025-01-11,30,Ground Beef,Meat
2025-01-12,11,Ground Beef,Meat
2025-01-12,19,Brown Rice,Grain
2025-01-13,28,White Bread,Bakery
2025-01-13,17,White Bread,Bakery
2025-01-13,17,Whole Milk,Dairy
2025-01-13,19,White Bread,Bakery
2025-01-13,13,American Cheese,Dairy
2025-01-14,12,Brown Rice,Grain
2025-01-14,13,Whole Milk,Dairy
2025-01-15,23,Whole Milk,Dairy
2025-01-15,14,American Cheese,Dairy
2025-01-15,20,Ground Beef,Meat
2025-01-15,15,Whole Milk,Dairy
2025-01-15,22,Whole Milk,Dairy
2025-01-16,21,Whole Milk,Dairy
2025-01-16,14,Ground Beef,Meat
2025-01-17,17,Whole Milk,Dairy
2025-01-17,14,Whole Milk,Dairy
2025-01-17,24,American Cheese,Dairy
2025-01-17,15,White Bread,Bakery
2025-01-17,15,American Cheese,Dairy
2025-01-18,17,Brown Rice,Grain
2025-01-18,26,Brown Rice,Grain
2025-01-18,27,American Cheese,Dairy
2025-01-18,16,Whole Milk,Dairy
2025-01-19,11,Ground Beef,Meat
2025-01-19,27,White Bread,Bakery
2025-01-19,14,White Bread,Bakery
2025-01-19,21,Brown Rice,Grain
2025-01-20,12,Whole Milk,Dairy
2025-01-21,14,Whole Milk,Dairy
2025-01-21,10,American Cheese,Dairy
2025-01-22,12,Brown Rice,Grain
2025-01-22,22,Brown Rice,Grain
2025-01-22,22,Whole Milk,Dairy
2025-01-22,12,Ground Beef,Meat
2025-01-22,26,White Bread,Bakery
2025-01-23,29,Whole Milk,Dairy
2025-01-23,17,Brown Rice,Grain
2025-01-23,12,White Bread,Bakery
2025-01-24,11,White Bread,Bakery
2025-01-24,30,White Bread,Bakery
2025-01-24,14,Brown Rice,Grain
2025-01-24,21,Brown Rice,Grain
2025-01-24,10,Whole Milk,Dairy
2025-01-25,26,Whole Milk,Dairy
2025-01-25,20,Brown Rice,Grain
2025-01-26,13,American Cheese,Dairy
2025-01-26,24,Ground Beef,Meat
2025-01-26,30,Whole Milk,Dairy
2025-01-26,25,Whole Milk,Dairy
2025-01-26,20,Ground Beef,Meat
2025-01-27,18,Brown Rice,Grain
2025-01-27,17,White Bread,Bakery
2025-01-27,11,American Cheese,Dairy
2025-01-28,17,Whole Milk,Dairy
2025-01-29,17,Whole Milk,Dairy
2025-01-29,21,Brown Rice,Grain
2025-01-30,26,White Bread,Bakery
2025-01-31,27,Whole Milk,Dairy
2025-01-31,24,American Cheese,Dairy
2025-01-31,16,Ground Beef,Meat
2025-01-31,29,Whole Milk,Dairy
